duration,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,num_failed_logins,root_shell,su_attempted,num_file_creations,num_access_files,same_srv_rate,diff_srv_rate,attack_type
817,EHR,patient_records,S0,3764,3722,1,5,1,0,7,67,0.51,0.43,data_modification
3472,PACS,radiology,S0,1698,4912,0,1,0,0,16,99,0.87,0.69,insider_data_leakage
2167,PACS,prescriptions,S0,2600,4005,0,3,1,1,2,26,0.39,0.59,policy_violation
3448,PACS,radiology,SF,4885,632,0,3,0,0,20,11,0.88,0.41,unauthorized_access
3455,PACS,radiology,SF,8702,2968,0,4,0,1,5,79,0.45,0.63,policy_violation
1611,HL7_API,radiology,SF,2957,7783,1,4,1,0,5,19,0.23,0.88,audit_log_tampering
2277,HL7_API,prescriptions,SF,8429,3309,0,3,1,1,12,42,0.41,0.29,policy_violation
741,PACS,lab_results,S0,5043,2555,1,1,0,1,17,26,0.51,0.96,credential_sharing
304,EHR,lab_results,S0,4336,7312,0,0,0,0,16,76,0.09,0.55,normal
1194,HL7_API,lab_results,REJ,2957,3805,0,4,1,0,12,37,0.93,0.47,privilege_misuse
383,HL7_API,billing,REJ,8632,6154,1,3,0,0,1,9,0.26,0.34,privilege_misuse
927,EHR,patient_records,S0,4758,6915,1,3,0,0,4,26,0.93,0.46,credential_sharing
1309,EHR,billing,REJ,4023,4732,0,1,0,0,13,96,0.34,0.69,privilege_misuse
3159,EHR,lab_results,REJ,8666,475,1,3,0,0,16,29,0.48,0.98,policy_violation
3145,PACS,billing,S0,5545,1744,0,3,1,1,15,43,0.92,0.58,insider_data_leakage
3162,PACS,lab_results,SF,8262,55,1,3,1,1,1,64,0.59,0.17,credential_sharing
636,HL7_API,billing,SF,2590,4518,1,2,0,1,16,77,0.5,0.5,audit_log_tampering
339,PACS,billing,SF,417,5477,1,4,1,1,10,35,0.94,0.92,unauthorized_access
2322,EHR,radiology,REJ,9033,5622,1,5,0,0,7,43,0.13,0.24,credential_sharing
1245,PACS,lab_results,S0,3662,5685,1,4,0,0,13,99,0.34,0.29,credential_sharing
2389,HL7_API,prescriptions,SF,4956,4254,1,3,1,1,7,58,0.16,0.11,credential_sharing
2051,EHR,patient_records,S0,6347,6325,0,3,0,1,10,44,0.24,0.09,privilege_misuse
1519,HL7_API,prescriptions,S0,1767,7274,0,2,1,0,7,63,0.25,0.9,audit_log_tampering
2949,EHR,billing,S0,5909,4484,1,5,0,0,1,36,0.05,0.58,privilege_misuse
278,PACS,prescriptions,S0,7979,6198,1,4,0,0,18,1,0.21,0.48,data_modification
2808,HL7_API,radiology,REJ,8512,2957,0,1,1,0,6,37,0.28,0.4,data_modification
990,EHR,prescriptions,SF,8630,1365,1,2,1,0,10,74,0.86,0.97,audit_log_tampering
2521,PACS,prescriptions,SF,8165,6192,0,2,1,0,9,47,0.64,0.39,insider_data_leakage
159,PACS,prescriptions,SF,2997,225,1,1,0,1,0,60,0.3,0.45,data_modification
2094,HL7_API,prescriptions,S0,6287,3300,0,2,0,0,20,47,0.95,0.57,policy_violation
587,EHR,lab_results,S0,8874,4771,1,2,1,1,19,46,0.33,0.95,insider_data_leakage
809,HL7_API,billing,SF,2838,520,0,3,1,1,8,12,0.95,0.7,credential_sharing
2270,PACS,lab_results,SF,4731,7725,0,4,1,1,12,45,0.9,0.75,unauthorized_access
2843,EHR,patient_records,S0,4141,2571,1,4,0,0,3,23,0.62,0.95,unauthorized_access
1597,PACS,billing,SF,8796,504,0,1,0,0,20,19,0.83,0.03,policy_violation
2746,HL7_API,prescriptions,SF,211,4331,1,4,1,0,1,93,0.54,0.63,unauthorized_access
2447,PACS,lab_results,REJ,9416,2358,0,3,1,1,2,39,0.14,0.82,insider_data_leakage
2587,HL7_API,prescriptions,S0,9435,4373,1,2,0,1,20,85,0.2,0.98,credential_sharing
2828,HL7_API,patient_records,SF,1480,583,1,2,1,1,3,11,0.63,0.69,unauthorized_access
1440,EHR,lab_results,REJ,961,3599,0,0,0,0,2,39,0.03,0.18,normal
2693,HL7_API,lab_results,REJ,1736,6421,0,1,0,1,5,2,0.56,0.95,audit_log_tampering
664,EHR,radiology,REJ,2286,6420,1,1,0,0,16,20,0.11,0.39,normal
649,PACS,patient_records,SF,356,1402,1,3,1,1,17,11,0.8,0.69,privilege_misuse
347,PACS,patient_records,SF,7955,4425,0,2,0,0,5,84,0.44,0.07,insider_data_leakage
1451,HL7_API,radiology,S0,4049,4245,0,5,1,0,11,59,0.5,0.32,policy_violation
1860,EHR,lab_results,S0,7002,7841,1,4,0,0,11,93,0.56,0.51,credential_sharing
3540,EHR,prescriptions,SF,4228,4759,1,5,1,0,4,14,0.97,0.17,insider_data_leakage
1021,EHR,billing,REJ,4917,1749,0,1,0,0,4,58,0.66,0.09,privilege_misuse
1954,PACS,radiology,SF,8099,6008,0,1,1,1,4,96,0.67,0.1,insider_data_leakage
2775,EHR,patient_records,S0,6494,914,0,2,0,1,15,77,0.27,0.72,audit_log_tampering
2049,HL7_API,prescriptions,SF,7446,3237,0,2,1,1,4,13,0.6,0.91,unauthorized_access
2089,HL7_API,lab_results,REJ,7193,7547,1,4,0,1,0,96,0.57,0.04,credential_sharing
2344,PACS,billing,REJ,6244,4114,0,5,1,0,6,89,0.29,0.87,privilege_misuse
2700,PACS,billing,SF,6165,1557,0,5,0,0,15,53,0.12,0.11,credential_sharing
1121,HL7_API,patient_records,REJ,8671,2888,0,2,0,0,11,2,0.21,0.75,unauthorized_access
1090,HL7_API,billing,S0,2508,7487,0,1,1,1,18,23,0.56,0.62,data_modification
2490,PACS,prescriptions,REJ,8602,1925,1,2,1,1,0,17,0.6,0.81,data_modification
1410,EHR,radiology,REJ,3855,5852,0,5,1,1,13,50,0.07,0.51,insider_data_leakage
1588,HL7_API,prescriptions,S0,6783,3332,0,1,0,0,13,90,0.05,0.69,normal
3505,HL7_API,radiology,SF,9336,5436,1,4,1,1,17,36,0.84,0.97,insider_data_leakage
403,HL7_API,billing,S0,5405,2359,0,1,0,0,0,58,0.38,0.28,privilege_misuse
1553,HL7_API,prescriptions,S0,2911,4562,1,3,1,0,12,37,0.87,0.22,unauthorized_access
1884,HL7_API,patient_records,SF,7850,6176,0,1,0,0,2,82,0.63,0.05,audit_log_tampering
2096,PACS,lab_results,SF,9711,5314,0,4,0,0,13,46,0.14,0.65,privilege_misuse
3477,EHR,radiology,S0,6311,4582,1,2,0,1,7,72,0.45,0.37,privilege_misuse
1311,PACS,prescriptions,REJ,5096,3798,0,5,0,0,9,70,0.04,0.32,insider_data_leakage
2909,PACS,lab_results,S0,6344,963,0,3,0,1,20,17,0.05,0.56,insider_data_leakage
2204,HL7_API,radiology,REJ,6889,5425,1,2,0,0,19,59,0.86,0.9,data_modification
949,HL7_API,radiology,S0,1526,1666,1,3,1,0,13,10,0.7,0.06,credential_sharing
2596,EHR,radiology,SF,7435,4840,1,4,1,0,9,71,0.35,0.39,insider_data_leakage
157,HL7_API,radiology,S0,3978,6725,1,1,1,0,1,66,0.19,0.24,insider_data_leakage
3093,PACS,patient_records,S0,7878,7315,1,5,0,1,4,91,0.99,0.06,policy_violation
1423,HL7_API,lab_results,SF,5728,7188,1,5,1,0,12,95,0.25,0.87,credential_sharing
1127,EHR,prescriptions,S0,5673,5601,0,1,1,1,13,44,0.67,0.81,policy_violation
2391,EHR,patient_records,SF,4249,6713,0,3,0,0,17,90,0.71,0.76,credential_sharing
1756,EHR,prescriptions,S0,5502,7009,0,3,0,0,13,1,0.28,0.06,credential_sharing
3125,EHR,radiology,SF,5158,3805,0,4,1,0,8,30,0.62,0.94,policy_violation
546,PACS,billing,S0,5146,4168,1,5,0,0,13,29,0.83,0.09,unauthorized_access
1204,PACS,lab_results,REJ,496,7309,1,1,0,1,19,86,0.15,0.94,insider_data_leakage
2939,EHR,billing,S0,3780,3962,0,5,1,0,3,20,0.2,0.81,insider_data_leakage
1213,PACS,billing,S0,9706,2257,0,1,0,1,9,50,0.34,0.15,policy_violation
990,EHR,lab_results,SF,2040,5864,1,1,1,1,3,62,0.36,0.12,policy_violation
1920,PACS,prescriptions,S0,5300,2661,1,1,0,0,1,8,0.73,0.25,insider_data_leakage
879,EHR,billing,SF,7689,414,1,1,0,0,4,69,0.36,0.82,audit_log_tampering
246,EHR,prescriptions,S0,4224,49,0,2,0,1,16,5,0.31,0.83,insider_data_leakage
3087,HL7_API,billing,SF,2737,733,1,3,0,1,3,82,0.7,0.06,audit_log_tampering
2296,EHR,lab_results,REJ,4163,6765,0,1,0,0,10,3,0.79,0.37,credential_sharing
720,PACS,billing,S0,4798,6200,0,4,1,1,19,93,0.08,0.45,insider_data_leakage
3337,HL7_API,lab_results,S0,6971,2930,1,1,0,0,5,71,0.6,0.03,policy_violation
44,EHR,lab_results,S0,1135,5999,1,1,0,1,19,53,0.19,0.01,privilege_misuse
1248,EHR,patient_records,REJ,1143,637,1,5,1,1,2,59,0.07,0.62,privilege_misuse
3337,PACS,prescriptions,S0,4608,2072,1,1,0,0,0,67,0.0,0.83,normal
2777,EHR,radiology,SF,4588,5145,0,5,1,1,8,53,0.23,0.3,credential_sharing
1654,PACS,billing,SF,3106,3678,0,2,1,1,18,78,0.7,0.41,privilege_misuse
661,PACS,patient_records,REJ,2112,5668,1,1,0,1,12,1,0.53,0.77,unauthorized_access
149,HL7_API,patient_records,S0,9233,3692,1,3,0,1,10,58,0.15,0.63,credential_sharing
520,EHR,patient_records,S0,2344,7011,1,5,1,1,2,64,0.86,0.37,privilege_misuse
467,HL7_API,patient_records,SF,8354,4918,0,3,1,0,20,81,0.0,0.43,unauthorized_access
2819,HL7_API,prescriptions,SF,9606,7426,1,1,1,0,13,36,0.01,0.42,credential_sharing
2861,EHR,billing,S0,9121,2451,1,2,1,1,20,65,0.16,0.45,insider_data_leakage
3282,PACS,billing,SF,8168,1872,1,2,0,0,12,32,0.02,0.05,privilege_misuse
137,PACS,prescriptions,REJ,4332,1970,0,5,1,1,18,71,0.22,0.18,audit_log_tampering
928,EHR,prescriptions,S0,7627,2054,1,2,0,0,6,67,0.62,0.47,data_modification
537,PACS,billing,SF,6721,7955,1,2,1,0,14,20,0.36,0.99,data_modification
1567,EHR,lab_results,REJ,9877,1196,0,0,0,0,14,60,0.88,0.93,normal
819,HL7_API,radiology,SF,9242,3353,1,2,0,0,7,97,0.7,0.59,data_modification
2232,HL7_API,patient_records,S0,9691,3720,0,2,1,1,8,39,0.72,0.06,credential_sharing
376,HL7_API,radiology,SF,9962,4226,1,2,0,0,11,27,0.52,0.02,policy_violation
3041,HL7_API,lab_results,SF,7684,6175,1,3,0,1,13,73,0.85,0.28,data_modification
2865,PACS,billing,SF,5061,2125,0,2,1,0,5,98,0.9,0.7,credential_sharing
1888,EHR,lab_results,SF,3226,7785,1,1,0,0,0,43,0.78,0.88,normal
337,PACS,prescriptions,S0,2122,4803,1,1,1,1,3,36,0.66,0.32,credential_sharing
1439,HL7_API,prescriptions,SF,6838,5735,0,1,0,0,9,95,0.75,1.0,normal
1134,EHR,radiology,SF,2478,983,1,0,0,0,18,87,0.96,0.17,normal
1355,HL7_API,radiology,REJ,8958,5507,1,3,1,0,6,32,0.87,0.22,unauthorized_access
2303,EHR,prescriptions,REJ,4812,1891,0,5,1,1,6,17,0.32,0.09,unauthorized_access
3158,HL7_API,lab_results,S0,5073,1493,0,5,1,1,17,35,0.75,0.04,data_modification
1139,HL7_API,patient_records,SF,3164,5939,1,1,0,0,15,59,0.92,0.85,privilege_misuse
691,PACS,lab_results,REJ,4783,7526,1,3,1,1,6,69,0.08,0.26,unauthorized_access
2950,EHR,billing,REJ,4524,6810,1,5,1,0,9,62,0.69,0.28,policy_violation
1113,PACS,lab_results,REJ,2597,5124,0,3,0,0,3,86,0.79,0.32,audit_log_tampering
3565,PACS,prescriptions,S0,8481,6370,1,5,0,0,1,13,0.79,0.82,data_modification
1181,HL7_API,billing,SF,3882,3045,1,4,1,0,20,94,0.4,0.84,audit_log_tampering
1926,HL7_API,lab_results,SF,9363,386,0,1,0,0,2,39,0.48,0.78,normal
99,HL7_API,lab_results,S0,9247,4148,1,4,0,1,8,62,0.97,0.72,privilege_misuse
1210,HL7_API,radiology,SF,1401,6736,0,2,0,1,4,81,0.68,0.99,credential_sharing
1765,PACS,lab_results,REJ,1655,5065,0,2,1,0,11,58,0.4,0.92,privilege_misuse
3376,HL7_API,billing,REJ,412,6128,1,2,1,0,5,41,0.19,0.23,data_modification
1409,HL7_API,lab_results,SF,6886,2494,0,5,0,1,3,30,0.32,0.15,unauthorized_access
2551,PACS,prescriptions,REJ,7381,1770,1,3,0,0,18,35,0.54,0.11,audit_log_tampering
1987,HL7_API,billing,SF,1181,5344,1,1,0,0,14,14,0.32,0.5,insider_data_leakage
2970,HL7_API,prescriptions,REJ,6570,6414,1,3,1,1,20,33,0.99,0.13,data_modification
1413,HL7_API,radiology,SF,751,2660,1,5,0,1,17,91,0.17,0.26,audit_log_tampering
62,EHR,billing,SF,5221,1787,0,4,0,0,14,14,0.66,0.44,audit_log_tampering
